 10 & 2.014e-04 & 0.00 & 2.425e-04 & 0.00 & 2.899e-04 & 0.00 & -1.493e-04 \\ 
 20 & 1.273e-05 & 3.98 & 1.513e-05 & 4.00 & 1.986e-05 & 3.87 & -1.080e-05 \\ 
 40 & 7.977e-07 & 4.00 & 9.367e-07 & 4.01 & 1.269e-06 & 3.97 & -6.995e-07 \\ 
 80 & 4.990e-08 & 4.00 & 5.863e-08 & 4.00 & 7.978e-08 & 3.99 & -4.412e-08 \\ 
160 & 3.119e-09 & 4.00 & 3.662e-09 & 4.00 & 4.993e-09 & 4.00 & -2.764e-09 \\ 
320 & 1.950e-10 & 4.00 & 2.289e-10 & 4.00 & 3.122e-10 & 4.00 & -1.729e-10 \\ 
640 & 1.219e-11 & 4.00 & 1.431e-11 & 4.00 & 1.968e-11 & 3.99 & -1.088e-11 \\ 
